Nombre de Cooperativa,Name Mes,#Mes,Año,Afiliado Hombres,Afiliados Mujeres,Personas Jurídicas,Menores Ahorrantes,Total Afiliados ,Cooperativa,Cierre
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Marzo,3,2019,7784,7710,29,762,16285,15 DE SEPTIEMBRE,2019-03
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Junio,6,2019,7702,7708,29,745,16184,15 DE SEPTIEMBRE,2019-06
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Septiembre,9,2019,6245,6566,26,646,13483,15 DE SEPTIEMBRE,2019-09
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Diciembre,12,2019,8193,7893,29,755,16870,15 DE SEPTIEMBRE,2019-12
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Marzo,3,2020,6245,6566,646,26,13483,15 DE SEPTIEMBRE,2020-03
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Junio,6,2020,6016,6858,654,21,13549,15 DE SEPTIEMBRE,2020-06
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Septiembre,9,2020,5889,6750,586,21,13246,15 DE SEPTIEMBRE,2020-09
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Diciembre,12,2020,5920,6739,24,569,13252,15 DE SEPTIEMBRE,2020-12
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Marzo,3,2021,5978,6825,23,552,13378,15 DE SEPTIEMBRE,2021-03
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Junio,6,2021,5893,6748,21,552,13214,15 DE SEPTIEMBRE,2021-06
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Septiembre,9,2021,5975,6844,20,545,13384,15 DE SEPTIEMBRE,2021-09
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Marzo,3,2022,6057,6939,20,538,13554,15 DE SEPTIEMBRE,2022-03
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Abril,4,2022,6139,7008,21,534,13702,15 DE SEPTIEMBRE,2022-04
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Mayo,5,2022,6136,7036,22,517,13711,15 DE SEPTIEMBRE,2022-05
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Junio,6,2022,6122,6979,22,506,13629,15 DE SEPTIEMBRE,2022-06
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Julio,7,2022,6149,7002,22,487,13660,15 DE SEPTIEMBRE,2022-07
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Agosto,8,2022,6203,7037,22,481,13743,15 DE SEPTIEMBRE,2022-08
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Septiembre,9,2022,6247,7081,22,550,13900,15 DE SEPTIEMBRE,2022-09
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Octubre,10,2022,6228,7049,477,22,13776,15 DE SEPTIEMBRE,2022-10
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Noviembre,11,2022,6217,7061,22,474,13774,15 DE SEPTIEMBRE,2022-11
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Diciembre,12,2022,6208,7052,22,473,13755,15 DE SEPTIEMBRE,2022-12
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Enero,1,2023,6270,7068,22,468,13828,15 DE SEPTIEMBRE,2023-01
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Febrero ,2,2023,6270,7068,22,468,13828,15 DE SEPTIEMBRE,2023-02
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Marzo,3,2023,6143,6992,23,464,13622,15 DE SEPTIEMBRE,2023-03
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Abril,4,2023,6190,7070,23,475,13758,15 DE SEPTIEMBRE,2023-04
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Mayo,5,2023,6241,7135,23,474,13873,15 DE SEPTIEMBRE,2023-05
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Junio,6,2023,6270,7164,23,457,13914,15 DE SEPTIEMBRE,2023-06
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Julio,7,2023,6296,7201,23,478,13998,15 DE SEPTIEMBRE,2023-07
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Agosto,8,2023,6363,7250,23,481,14117,15 DE SEPTIEMBRE,2023-08
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Septiembre,9,2023,6383,7269,23,483,14158,15 DE SEPTIEMBRE,2023-09
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Octubre,10,2023,6415,7301,24,485,14225,15 DE SEPTIEMBRE,2023-10
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Noviembre,11,2023,6468,7375,24,489,14356,15 DE SEPTIEMBRE,2023-11
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Diciembre,12,2023,6477,7414,24,489,14404,15 DE SEPTIEMBRE,2023-12
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Enero,1,2024,6545,7471,24,474,14514,15 DE SEPTIEMBRE,2024-01
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Febrero,2,2024,6583,7510,24,476,14593,15 DE SEPTIEMBRE,2024-02
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",Marzo,3,2024,6620,7535,24,472,14651,15 DE SEPTIEMBRE,2024-03
