COOPERATIVA,MES#,AÑO,ACTIVOS TOTALES,ACTIVOS NETOS,DISPONIBILIDADES,Depositos BCH hn,Depositos Bancos hn,INVERSIONES,Inversiones hn,Inversiones FEC hn,PRESTAMOS,Vigentes hn,Atrasados hn,Vencidos hn,Demanda Judicial hn,CUENTAS X COBRAR,ACTIVOS EVENTUALES,"PROPIEDAD, PLANTA, EQUIPO",CARGOS DIFERIDOS,ACTIVOS DE INVERSION,ACTIVOS INTANGIBLES,PASIVOS TOTALES,EXIGIBILIDADES INMEDIATAS,EXIGIBILIDADES X DEPOSITOS,Depositos Ahorro hn,DPF hn,OTRAS EXIGIBILIDADES,OBLIGACIONES BANCARIAS,CREDITOS DIFERIDOS,PROVISIONES DE VALUACION,PROVISIONES EVENTUALES,PATRIMONIO,PATRIMONIO PRIMARIO,Aportaciones,Reserva,PATRIMONIO COMPLEMENTARIO,PROPIEDAD PLANTA EQUIPO
15 DE SEPTIEMBRE,1,2019,381005675,381005675,17376044,0,16395765,36625008,25223008,11402000,327004623,229128446,78476184,17058633,2341358,0,0,0,0,0,0,0,0,0,65790980,26049384,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,2,2019,382142374,382142374,14672164,0,13862832,38625040,27223040,11402000,328845170,215975276,93384763,17143772,2341358,0,0,0,0,0,0,0,0,0,66165811,27052384,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,3,2019,381059613,381059613,13218654,0,12148474,38741115,27339115,11402000,329099844,216019617,93277443,17461425,2341358,0,0,0,0,0,0,0,0,0,63983223,26947384,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,4,2019,379914796,379914796,12293571,0,11076957,38771148,27369148,11402000,328850077,211511090,99042017,15955611,2341358,0,0,0,0,0,0,0,0,0,64569365,27692384,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,5,2019,404691625,404691625,14447217,0,13243873,36224214,23024214,13200000,354020194,331022314,16232799,5180080,1584999,0,0,0,0,0,0,0,0,0,78175426,36716559,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,7,2019,386076277,386076277,15959182,0,14781293,39019750,26869750,12150000,331097345,301807547,20748248,6317278,2224271,0,0,0,0,0,0,0,0,0,67901920,28468359,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,8,2019,385945995,385945995,12708607,0,11281907,39019812,26869812,12150000,334217576,303165277,23402959,3940424,3708915,0,0,0,0,0,0,0,0,0,68687616,28596359,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,9,2019,388085792,388085792,9773055,0,8829236,36019908,23869908,12150000,342292829,309920078,24646574,4021563,3704613,0,0,0,0,0,0,0,0,0,70643947,28171359,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,10,2019,386801081,386801081,10268294,0,8909977,33269970,20869970,12400000,343262817,309582863,27150537,3182878,3346538,0,0,0,0,0,0,0,0,0,69649690,28758859,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,11,2019,396240820,396240820,7542958,0,6684491,33270030,20870030,12400000,355427832,322932175,26027091,3122027,3346538,0,0,0,0,0,0,0,0,0,69275377,28988859,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,12,2019,395812717,395812717,9300596,0,7936181,29328034,16928034,12400000,357184087,328413799,22819158,4138023,1813106,0,0,0,0,0,0,0,0,0,70866974,29868859,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,1,2020,650268208,650268208,173595712,0,137359443,169636354,104692178,61000000,307036142,269505621,37353156,177364,0,0,0,0,0,0,0,0,0,0,273764960,234758867,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,2,2020,407574419,407574419,13684882,0,12624994,30228190,17028190,13200000,363661347,330419322,26346250,5082667,1813106,0,0,0,0,0,0,0,0,0,75321476,34833559,0,0,0,0,0,0,0,0,0,0,
15 DE SEPTIEMBRE,3,2020,410372293,410372293,14723862,0,13224541,30228224,17028224,13200000,365420207,332032966,26150811,5589446,1646983,0,0,0,0,0,0,0,0,0,74732552,36419559,0,0,0,0,0,0,0,0,0,0,
