COOPERATIVA,MES#,AÑO,INGRESOS,Productos Financieros,Productos x Servicios,Otros Productos,Ingresos Anteriores,EGRESOS,Gastos Financieros,Gastos de Administracion,Otros Gastos,Gastos Anteriores,EXCEDENTES
15 DE SEPTIEMBRE,1,2019,4727290,4645866,81224,200,0,3274282,1483121,1791161,0,0,1453008
15 DE SEPTIEMBRE,2,2019,9543671,9382216,161205,250,0,7026455,2972890,3733565,0,320000,2517216
15 DE SEPTIEMBRE,3,2019,14077175,13845728,229988,1459,0,10735484,4460912,5954572,0,320000,3341691
15 DE SEPTIEMBRE,4,2019,18915022,18604038,306602,4382,0,14413011,5952151,8140860,0,320000,4502011
15 DE SEPTIEMBRE,5,2019,23405369,23105643,246244,1307,52175,18319806,6306146,11984801,0,28859,5085563
15 DE SEPTIEMBRE,7,2019,33077542,32487454,570220,19868,0,25206117,10455354,14430763,0,320000,7871425
15 DE SEPTIEMBRE,8,2019,38179887,37510429,649590,19868,0,28828787,11959182,16549605,0,320000,9351100
15 DE SEPTIEMBRE,9,2019,42842011,42089860,732283,19868,0,32264719,13458685,18486034,0,320000,10577292
15 DE SEPTIEMBRE,10,2019,47675317,46847513,805236,22568,0,35965381,14956917,20688464,0,320000,11709936
15 DE SEPTIEMBRE,11,2019,52298037,51377213,898444,22380,0,39965033,16473963,23171070,0,320000,12333004
15 DE SEPTIEMBRE,12,2019,57728059,56640639,999514,87906,0,45496297,18050865,26886547,238885,320000,12231762
15 DE SEPTIEMBRE,1,2020,5642743,5224537,418206,0,0,4831131,2323274,2505299,2558,0,811612
15 DE SEPTIEMBRE,2,2020,9831343,9621174,160854,141,49174,8549862,3269765,5251240,0,28857,1281481
15 DE SEPTIEMBRE,3,2020,14788842,14529243,210284,141,49174,11701329,4281894,7390578,0,28857,3087513
15 DE SEPTIEMBRE,5,2020,23405369,23105643,246244,1307,52175,18319806,6306146,11984801,0,28859,5085563
15 DE SEPTIEMBRE,6,2020,23405369,23105643,246244,1307,52175,18319806,6306146,11984801,0,28859,5085563
15 DE SEPTIEMBRE,7,2020,31925742,31558019,312779,2769,52175,25309165,9532448,15747858,0,28859,6616577
15 DE SEPTIEMBRE,8,2020,36845081,36359703,433414,2789,49175,28777255,11147485,17600911,0,28859,8067826
15 DE SEPTIEMBRE,9,2020,41741979,41097638,505887,73044,65410,32457599,12766331,19675249,0,16019,9284380
15 DE SEPTIEMBRE,10,2020,46487723,45722937,597059,71445,96282,36250652,14394532,21840101,0,16019,10237071
15 DE SEPTIEMBRE,12,2020,56737334,55731799,725101,147664,132770,45571280,17739621,27572442,177411,81806,11166054
15 DE SEPTIEMBRE,1,2021,5148906,5079729,59154,0,10023,3470985,1670621,1799103,0,1261,1677921
15 DE SEPTIEMBRE,2,2021,10624439,10003182,118701,488000,14556,7260458,3321202,3937515,0,1741,3363981
15 DE SEPTIEMBRE,3,2021,16414906,15700637,208188,488000,18081,11455363,5012800,6440822,0,1741,4959543
15 DE SEPTIEMBRE,4,2021,21629038,20659487,272882,669688,26981,15494338,6809159,8683438,0,1741,6134700
15 DE SEPTIEMBRE,5,2021,27811424,25946382,352371,1479690,32981,19488951,8550300,10936910,0,1741,8322473
