Nombre Completo,Abreviatura
"Cooperativa de Ahorro y Crédito 15 de Septiembre, Limitada",15 DE SEPTIEMBRE
"Cooperativa de Ahorro y Crédito 4 de Junio, Limitada",4 DE JUNIO
"Cooperativa de Ahorro y Crédito Apaguiz, Limitada",APAGUIZ
"Cooperativa de Ahorro y Crédito Apagüiz, Limitada",APAGUIZ
"Cooperativa de Ahorro y Crédito Arsenault, Limitada",ARSENAULT
" Cooperativa de Ahorro y Crédito Padre Guillermo Arsenault, Limitada en aplicación de las Resoluciones No. SCACR-027/2025",ARSENAULT
"Cooperativa de Ahorro y Crédito Padre Guillermo Arsenault, Limitada",ARSENAULT
"Cooperativa de Ahorro y Crédito Padre Guillermo Arsenault, Limitada en aplicación de las Resoluciones No. SCACR-027/2025",ARSENAULT
"Cooperativa de Ahorro y Crédito Becerra, Limitada (COPACREBEL)",BECERRA
"Cooperativa de Ahorro y Crédito CACEENP, Limitada",CACEENP
"Cooperativa de Ahorro y Crédito Empleados Empresa Nacional Portuaria, Limitada (CACEENP)",CACEENP
"Cooperativa de Ahorro y Crédito Empleados de la Salud, Limitada (CACEINTOL)",CACEINTOL
"Cooperativa de Ahorro y Crédito Escuela Superior del Profesorado, Limitada (CACESPROL)",CACESPROL
"Cooperativa de Ahorro y Crédito Escuela Superior del Profesorado, Limitada (CACESPROL) 09/2022",CACESPROL
"Cooperativa de Ahorro y Crédito de La Industria de Las Bebidas, Similares y Conexos Limitada",CACIBSCOL
"Cooperativa de Ahorro y Crédito Industria de Bebidas, Similares y Conexos, Limitada (CACIBSCOL)",CACIBSCOL
"Cooperativa de Ahorro y Crédito Intibucana, Limitada (CACIL)",CACIL
"Cooperativa de Ahorro y Crédito Trabajadores de Productos Lacteos de Sula, Limitada (CACSULACTA)",CACSULACTA
"Cooperativa de Ahorro y Crédito Trabajadores de Productos Lácteos de Sula, Limitada (CACSULACTA)",CACSULACTA
"Cooperativa de Ahorro y Crédito Trabajadores Planta de Productos Lácteos Sula, Limitada",CACSULACTA
"Cooperativa de Ahorro y Crédito Campamento, Limitada",CAMPAMENTO
"Cooperativa de Ahorro y Crédito Sonaguera, Limitada",CAYCSOL
"Cooperativa de Ahorro y Crédito Empleados de Comidas Especializadas, Limitada (CECOEL)",CECOEL
"Cooperativa de Ahorro y Crédito Empleados de Comidas Especializadas, Limitada (CECOEL) ",CECOEL
"Cooperativa de Ahorro y Crédito Ceibeña, Limitada",CEIBEÑA
"Cooperativa De Ahorro y Crédito Ceibeña, Limitada ",CEIBEÑA
"Cooperativa de Ahorro y Crédito Chorotega, Limitada",CHOROTEGA
"Cooperativa de Ahorro y Crédito Chorotega, Limitada ",CHOROTEGA
"Cooperativa de Ahorro y Crédito Educadores de Honduras, Limitada (COACEHL)",COACEHL
"Cooperativa de Ahorro y Crédito Yoro, Limitada (COOPACYL)",COOPACYL
"Cooperativa de Ahorro y Crédito Cuna Maya, Limitada",CUNA MAYA
"Cooperativa de Ahorro y Crédito Dantoni, Limitada",VICENTE DANTONI
"Cooperativa de Ahorro y Crédito EDNE, Limitada",EDNE
"Cooperativa de Ahorro y Crédito El Negrito, Limitada",EL NEGRITO
"Cooperativa de Ahorro y Crédito El Porvenir, Limitada",EL PORVENIR
"Cooperativa de Ahorro y Crédito Elga, Limitada",ELGA
"Cooperativa de Ahorro y Crédito Elga, Limitada en aplicación de las Resoluciones No. SCACR-106/2023 y No. SCACR-011/2025",ELGA
"Cooperativa de Ahorro y Crédito Empleados Banco del Pais, Limitada",EMPLEADOS BANPAIS
"Cooperativa de Ahorro y Crédito Empleados Banco del País, Limitada",EMPLEADOS BANPAIS
"Cooperativa de Ahorro y Crédito Empleados Cemcol, Limitada (CACEC)",EMPLEADOS CEMCOL
"Cooperativa de Ahorro y Crédito Empleados Cemcol, Limitada (CACEC) ",EMPLEADOS CEMCOL
"Cooperativa de Ahorro y Crédito de Empleados de la UNAH, Limitada (CACEUNAH)",EMPLEADOS UNAH
"Cooperativa de Ahorro y Crédito de Empleados de la UNAH, Limitada (CACEUNAH) ",EMPLEADOS UNAH
"Cooperativa de Ahorro y Crédito de Empleados de la UNAH, Limitada (CACEUNAH) noviembre 2022",EMPLEADOS UNAH
"Cooperativa de Ahorro y Crédito Empleados de La Universidad Nacional Autónoma de Honduras, Limitada",EMPLEADOS UNAH
"Cooperativa de Ahorro y Crédito Empleados de La Universidad Nacional Autónoma de Honduras, Limitada (CACEUNAH)",EMPLEADOS UNAH
Cooperativa de Ahorro y Crédito de los Empleados Del Instituto Hondureño De Seguridad Social Limitada,EMPLEADOS IHSS
"Cooperativa de Ahorro y Crédito Empleados del Instituto Hondureño de Seguridad Social, Limitada (CACIHSS)",EMPLEADOS IHSS
"Cooperativa de Ahorro y Crédito Empleados La Reyna y STIBYS, Limitada",EMPLEADOS LA REYNA Y STIBYS
"Cooperativa de Ahorro y Crédito de los Empleados del Poder Judicial, Limitada (CACEPJ)",EMPLEADOS PODER JUDICIAL
"Cooperativa de Ahorro y Crédito de los Empleados del Poder Judicial, Limitada (CACEPJ) ",EMPLEADOS PODER JUDICIAL
Cooperativa de Ahorro y Crédito Empleados del Poder Judicial Limitada,EMPLEADOS PODER JUDICIAL
